rank,title,developer,source,rank_source,app_id,store_url,logo_file
"1","ChatGPT","OpenAI","google_play","TOP_FREE","com.openai.chatgpt","https://play.google.com/store/apps/details?id=com.openai.chatgpt","001_ChatGPT.png"
"2","GoTyme Bank | South Africa","Tyme Bank Ltd.","google_play","TOP_FREE","za.co.gotyme","https://play.google.com/store/apps/details?id=za.co.gotyme","002_GoTyme_Bank_South_Africa.png"
"3","TikTok Lite - Save Data","TikTok Pte. Ltd.","google_play","TOP_FREE","com.zhiliaoapp.musically.go","https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically.go","003_TikTok_Lite_-_Save_Data.png"
"4","Temu: Shop Like a Billionaire","Temu","google_play","TOP_FREE","com.einnovation.temu","https://play.google.com/store/apps/details?id=com.einnovation.temu","004_Temu_Shop_Like_a_Billionaire.png"
"5","SHEIN-Shopping Online","Roadget Business PTE. LTD.","google_play","TOP_FREE","com.zzkko","https://play.google.com/store/apps/details?id=com.zzkko","005_SHEIN-Shopping_Online.png"
"6","WhatsApp Messenger","WhatsApp LLC","google_play","TOP_FREE","com.whatsapp","https://play.google.com/store/apps/details?id=com.whatsapp","006_WhatsApp_Messenger.png"
"7","Moviebox HD：Watch TV&short","YC.TECH","google_play","TOP_FREE","com.gargan.abismo","https://play.google.com/store/apps/details?id=com.gargan.abismo","007_Moviebox_HD：Watch_TV&short.png"
"8","Facebook Lite","Meta Platforms, Inc.","google_play","TOP_FREE","com.facebook.lite","https://play.google.com/store/apps/details?id=com.facebook.lite","008_Facebook_Lite.png"
"9","Capitec Bank","Capitec Bank","google_play","TOP_FREE","capitec.acuity.mobile.prod","https://play.google.com/store/apps/details?id=capitec.acuity.mobile.prod","009_Capitec_Bank.png"
"10","SHAREit: Transfer, Share Files","Smart Media4U Technology Pte.Ltd.","google_play","TOP_FREE","com.lenovo.anyshare.gps","https://play.google.com/store/apps/details?id=com.lenovo.anyshare.gps","010_SHAREit_Transfer,_Share_Files.png"
"11","ReelShort - Stream Drama & TV","NewLeaf Publishing","google_play","TOP_FREE","com.newleaf.app.android.victor","https://play.google.com/store/apps/details?id=com.newleaf.app.android.victor","011_ReelShort_-_Stream_Drama_&_TV.png"
"12","TikTok","TikTok Pte. Ltd.","google_play","TOP_FREE","com.zhiliaoapp.musically","https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically","012_TikTok.png"
